# EPIC structured flight events for epic_2026-07-03-11-21-46.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783045305.987
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783045336.349][    +16.2s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.34m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045336.433][    +16.3s][EXEC_TRAJ] BATT 23.0V | v=23.40V pct=65%
[1783045336.984][    +16.8s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.33m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045337.620][    +17.5s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.3m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.3m goal=(-0.0, -0.0, 1.2) t=8ms (prev x1/0.6s)
[1783045337.620][    +17.5s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.27m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045338.285][    +18.1s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.2m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.2m goal=(-0.0, -0.0, 1.2) t=8ms
[1783045338.286][    +18.1s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.22m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045338.319][    +18.2s][PLAN_TRAJ_RTH] LOCAL RTH FAIL | why: minco optimize failed | t=33.4ms (prev x6/3.9s)
[1783045338.319][    +18.2s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [PLAN_TRAJ_RTH: plan failed] |  (prev cycle x12/3.9s)
[1783045338.375][    +18.2s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.23m tol=0.20m goal=(-0.02, -0.00, 1.20) (x1)
[1783045338.454][    +18.3s][PLAN_TRAJ_RTH] BATT 23.0V | v=23.35V pct=64%
[1783045338.462][    +18.3s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.24m tol=0.20m goal=(-0.02, -0.00, 1.20) (x1)
[1783045338.520][    +18.4s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [planGoalPath: succeed] |  (prev x4/0.2s)
[1783045338.520][    +18.4s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.25m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045338.597][    +18.5s][EXEC_TRAJ] STATE PLAN_TRAJ_RTH -> EXEC_TRAJ [PLAN_TRAJ_RTH: plan success] |  (prev cycle x1/0.1s)
[1783045339.184][    +19.0s][PLAN_TRAJ_RTH] STATE EXEC_TRAJ -> PLAN_TRAJ_RTH [planGoalPath: succeed]
