# EPIC structured flight events for epic_2026-07-03-11-23-16.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783045395.382
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783045424.097][    +19.8s][PLAN_TRAJ_RTH] RTH d2goal=2.0m | auto-home(xy) dist=2.17m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045424.401][    +20.1s][EXEC_TRAJ] BATT 23.0V | v=23.32V pct=61%
[1783045424.726][    +20.4s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 1.7m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/1.7m goal=(0.0, 0.0, 1.2) t=1ms
[1783045424.726][    +20.4s][PLAN_TRAJ_RTH] RTH d2goal=1.5m | auto-home(xy) dist=1.72m tol=0.20m goal=(0.04, 0.01, 1.20) (prev cycle x1/3.1s)
[1783045425.331][    +21.0s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 1.1m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/1.1m goal=(0.0, 0.0, 1.2) t=1ms
[1783045425.332][    +21.0s][PLAN_TRAJ_RTH] RTH d2goal=1.0m | auto-home(xy) dist=1.13m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045425.737][    +21.4s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.8m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.8m goal=(0.0, 0.0, 1.2) t=2ms
[1783045425.737][    +21.4s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.79m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045425.771][    +21.4s][PLAN_TRAJ_RTH] LOCAL RTH FAIL | why: minco optimize failed | t=33.5ms (prev x7/4.1s)
[1783045425.771][    +21.4s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [PLAN_TRAJ_RTH: plan failed] |  (prev cycle x14/4.1s)
[1783045425.781][    +21.5s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.75m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045425.824][    +21.5s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.71m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045425.912][    +21.6s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.68m tol=0.20m goal=(0.04, 0.01, 1.20) (x1)
[1783045425.951][    +21.6s][PLAN_TRAJ_RTH] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.6m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.6m goal=(0.0, 0.0, 1.2) t=1ms
[1783045425.951][    +21.6s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [planGoalPath: succeed] |  (prev x4/0.1s)
[1783045425.956][    +21.6s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.64m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045426.000][    +21.7s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.61m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045426.034][    +21.7s][EXEC_TRAJ] STATE PLAN_TRAJ_RTH -> EXEC_TRAJ [PLAN_TRAJ_RTH: plan success] |  (prev cycle x1/0.1s)
[1783045426.399][    +22.1s][EXEC_TRAJ] BATT 23.0V | v=23.29V pct=59%
[1783045426.560][    +22.2s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.4m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.4m goal=(0.0, 0.0, 1.2) t=2ms
[1783045426.561][    +22.2s][PLAN_TRAJ_RTH] STATE EXEC_TRAJ -> PLAN_TRAJ_RTH [planGoalPath: succeed]
[1783045426.564][    +22.2s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.37m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045427.166][    +22.8s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.3m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.3m goal=(0.0, 0.0, 1.2) t=1ms
[1783045427.167][    +22.8s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.29m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045427.790][    +23.5s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.2m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.2m goal=(0.0, 0.0, 1.2) t=3ms
[1783045427.790][    +23.5s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.14m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045427.790][    +23.5s][LAND] STATE PLAN_TRAJ_RTH -> LAND [RTH: home reached -> AUTO.LAND] |  (prev cycle x4/1.2s)
[1783045428.397][    +24.1s][LAND] PX4 mode=AUTO.LAND armed=1 (LEFT OFFBOARD: pilot takeover or failsafe) | prev=OFFBOARD
[1783045428.401][    +24.1s][LAND] BATT 23.0V | v=23.34V pct=58%
[1783045432.397][    +28.1s][LAND] PX4 mode=OFFBOARD armed=0 | prev=AUTO.LAND
[1783045432.398][    +28.1s][LAND] BATT 24.0V | v=24.06V pct=63% (prev cycle x1/16.0s)
[1783045432.401][    +28.1s][LANDED] STATE LAND -> LANDED [LAND: touchdown & disarmed]
[1783045432.411][    +28.1s][LANDED] MISSION LANDED (mission complete, disarmed)
