# EPIC structured flight events for epic_2026-07-02-19-31-32.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1782988291.234
# box | down=[-150, -150, 0.5] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=1.0 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.61
# frontier | cell=0.40 cluster_sz=[1.0, 5.0] minpts=5 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=4 local_tsp=12
# fsm | takeoff_h=1.10 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1782988320.937][    +17.4s][EXEC_TRAJ] BATT 23.0V | v=23.08V pct=49%
[1782988321.165][    +17.7s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 3.1m (connected via 1) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=2 dorm=0 unreach=0 cons=2 nocand=0 topo=2 novis=0 ok=0] tour=2n/3.1m goal=(-0.0, -0.0, 1.1) t=16ms
[1782988321.165][    +17.7s][PLAN_TRAJ_RTH] RTH d2goal=3.0m | auto-home(xy) dist=3.07m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988321.787][    +18.3s][PLAN_TRAJ_RTH] RTH d2goal=3.0m | auto-home(xy) dist=3.12m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988322.432][    +18.9s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 3.0m (connected via 1) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=2 dorm=1 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/3.0m goal=(-0.0, -0.0, 1.1) t=11ms (prev x1/0.6s)
[1782988323.080][    +19.6s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 2.6m (connected via 1) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=2 dorm=1 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/2.6m goal=(-0.0, -0.0, 1.1) t=12ms
[1782988323.080][    +19.6s][PLAN_TRAJ_RTH] RTH d2goal=2.5m | auto-home(xy) dist=2.58m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988323.724][    +20.2s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 2.0m (connected via 1) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=2 dorm=1 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/2.0m goal=(-0.0, -0.0, 1.1) t=11ms
[1782988323.724][    +20.2s][PLAN_TRAJ_RTH] RTH d2goal=2.0m | auto-home(xy) dist=2.03m tol=0.20m goal=(-0.04, -0.04, 1.10) (prev cycle x1/2.6s)
[1782988324.351][    +20.9s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 1.4m (connected via 1) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=2 dorm=1 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/1.4m goal=(-0.0, -0.0, 1.1) t=11ms
